# Note - You may enter notes about your run here. They will be displayed every time this log is loaded.
# Saved Wednesday July 07 2021
# To calculate the rpm of your motor: take the Motor_RPM and divide by the number of motor poles / 2
LogSession_ID,Log_Frequency,Drive_Voltage,Drive_Current,Drive_Power,Temperature,Input_Throttle,Output_Throttle,Motor_RPM,Power_Consumption
52,8,29.82,5.00,149.10,82.40,1306,28.00,19500,0.00
52,8,29.76,5.18,154.16,82.40,1306,28.00,20100,0.01
52,8,29.73,5.32,158.16,82.40,1312,29.00,20700,0.01
52,8,29.72,5.23,155.44,82.40,1306,28.00,20700,0.02
52,8,29.72,5.17,153.65,82.40,1318,30.00,20700,0.02
52,8,29.67,5.49,162.89,82.40,1336,32.00,21900,0.03
52,8,29.62,5.84,172.98,82.40,1343,32.00,21900,0.03
52,8,29.58,5.91,174.82,82.40,1352,34.00,23160,0.04
52,8,29.56,6.15,181.79,82.40,1366,35.00,23760,0.04
52,8,29.51,6.34,187.09,82.40,1363,35.00,24960,0.05
52,8,29.48,6.21,183.07,82.40,1363,35.00,24360,0.05
52,8,29.46,6.14,180.88,82.40,1371,36.00,24960,0.06
52,8,29.45,6.28,184.95,82.40,1386,38.00,25560,0.06
52,8,29.36,6.88,202.00,82.40,1396,39.00,26160,0.07
52,8,29.30,7.35,215.35,82.40,1401,39.00,26820,0.08
52,8,29.27,7.42,217.18,82.40,1399,39.00,27420,0.08
52,8,29.26,7.34,214.77,82.40,1421,41.00,28020,0.09
52,8,29.19,7.59,221.55,82.40,1420,41.00,28620,0.10
52,8,29.14,7.74,225.54,82.40,1430,43.00,28620,0.10
52,8,29.09,7.67,223.12,82.40,1429,42.00,29220,0.11
52,8,29.09,7.73,224.87,82.40,1435,43.00,29220,0.12
52,8,29.03,10.06,292.04,82.40,1449,45.00,29820,0.13
52,8,28.99,10.30,298.60,82.40,1451,45.00,29820,0.13
52,8,28.92,10.35,299.32,82.40,1463,47.00,30480,0.14
52,8,28.83,10.76,310.21,84.20,1473,48.00,31080,0.15
52,8,28.74,11.17,321.03,84.20,1480,49.00,31680,0.16
52,8,28.70,11.33,325.17,84.20,1486,49.00,32280,0.17
52,8,28.72,11.82,339.47,84.20,1505,51.00,33480,0.18
52,8,28.71,12.47,358.01,84.20,1502,51.00,34080,0.19
52,8,28.71,12.39,355.72,84.20,1501,51.00,34080,0.20
52,8,28.70,11.58,332.35,84.20,1468,47.00,33480,0.21
52,8,28.72,10.71,307.59,84.20,1474,48.00,32880,0.22
52,8,28.72,10.59,304.14,84.20,1484,49.00,32280,0.23
52,8,28.71,11.39,327.01,84.20,1495,50.00,32880,0.24
52,8,28.71,12.08,346.82,84.20,1496,50.00,34080,0.25
52,8,28.72,12.10,347.51,84.20,1490,50.00,33480,0.26
52,8,28.72,11.55,331.72,84.20,1482,49.00,33480,0.27
52,8,28.72,11.09,318.50,84.20,1480,49.00,32880,0.28
52,8,28.72,11.13,319.65,84.20,1485,49.00,32880,0.29
52,8,28.71,11.25,322.99,84.20,1494,50.00,32880,0.30
